index,region,price,price_difference_rate
0,AB,139257.0,0.347
1,AL,486962.0,0.242
2,B,725441.0,0.234
3,BA,238241.0,0.338
4,BB,50942.0,0.137
5,BD,23686.0,0.025
6,BH,436787.0,0.305
7,BL,69714.0,0.123
8,BN,565808.0,0.223
9,BR,183537.0,0.352
10,BS,306871.0,0.252
11,CA,26542.0,0.017
12,CB,464495.0,0.111
13,CF,187284.0,0.643
14,CH,267712.0,0.056
15,CM,158348.0,0.247
16,CO,127202.0,0.271
17,CR,391163.0,0.22
18,CT,134837637.0,0.009
19,CV,243926.0,0.277
20,CW,148512.0,0.239
21,DA,630119.0,0.015
22,DD,55471.0,0.125
23,DE,105632.0,0.115
24,DH,37078472.0,0.006
25,DL,388844.0,0.053
26,DN,48453.0,0.063
27,DT,695233.0,0.193
28,DY,2472698.0,0.036
29,E,1850027.0,0.036
30,EC,64718940.0,0.194
31,EH,1751633.0,0.037
32,EN,820505.0,0.395
33,EX,774610.0,0.431
34,FK,81059.0,0.217
35,FY,125497.0,0.05
36,G,412769.0,0.084
37,GL,230032.0,0.23
38,GU,1965659.0,0.345
39,HA,1504720.0,0.108
40,HD,313003.0,0.286
41,HG,76214.0,0.221
42,HP,448093.0,0.276
43,HR,149467.0,0.147
44,HU,78696.0,0.06
45,HX,55877.0,0.267
46,IG,352218.0,0.279
47,IP,192906.0,0.13
48,IV,1873.0,0.207
49,KT,3658356.0,0.177
50,KY,43406.0,0.238
51,L,493613.0,0.147
52,LA,19681.0,0.029
53,LD,10405.0,0.194
54,LE,1088272.0,0.041
55,LL,114891.0,0.092
56,LN,128556.0,0.03
57,LS,220187.0,0.483
58,LU,91002.0,0.367
59,M,589467.0,0.567
60,ME,155519.0,0.748
61,MK,118240.0,0.244
62,ML,35053.0,0.487
63,N,2126891.0,0.205
64,NE,285605.0,0.232
65,NG,342289.0,0.146
66,NN,103794.0,0.318
67,NP,41742.0,0.247
68,NR,122598.0,0.36
69,NW,15817076.0,0.138
70,OL,152586.0,0.415
71,OX,1950839.0,0.182
72,PA,18343.0,-0.689
73,PE,253867.0,0.247
74,PH,31646.0,0.44
75,PL,8597291.0,0.014
76,PO,133955.0,0.356
77,PR,123638.0,0.186
78,RG,1699510.0,0.441
79,RH,337647.0,0.304
80,RM,327772.0,0.129
81,S,264832.0,0.256
82,SA,515347.0,0.149
83,SE,1711238.0,0.058
84,SG,293059.0,0.267
85,SK,787908.0,0.132
86,SL,3269290.0,0.252
87,SM,239426.0,0.312
88,SN,90419.0,0.311
89,SO,223894.0,0.351
90,SP,270274.0,0.148
91,SR,54518.0,0.049
92,SS,105446.0,0.164
93,ST,210439.0,0.181
94,SW,39642862.0,0.101
95,SY,104087.0,0.393
96,TA,65114.0,0.201
97,TD,5829.0,0.679
98,TF,35512.0,0.182
99,TN,566781.0,0.275
100,TQ,49828.0,0.285
101,TR,138402.0,0.253
102,TS,144245.0,0.235
103,TW,919235.0,0.182
104,UB,720420.0,0.105
105,W,47839823.0,0.057
106,WA,1267860.0,0.09
107,WC,4114191.0,0.168
108,WD,720292.0,0.418
109,WF,26922.0,0.297
110,WN,119416.0,0.261
111,WR,123317.0,0.131
112,WS,52130.0,0.247
113,WV,47739.0,0.273
114,YO,155548.0,0.042
